2018rank,City,State[c],2010Census,White,Non_Hispanic_White,African_American,Asian,Other
292,Tyler,Texas,96900,NA,NA,NA,NA,NA
293,Norwalk,California,105549,NA,NA,NA,NA,NA
294,San Mateo,California,97207,NA,NA,"2,099 - 2.2","18,153 - 18.7","1,937 - 2.0"
295,Green Bay,Wisconsin,104057,NA,NA,NA,NA,NA
296,Wichita Falls,Texas,104553,NA,NA,NA,NA,NA
297,Sparks,Nevada,90264,NA,NA,NA,NA,NA
298,Lakewood,New Jersey,92843,NA,NA,NA,NA,NA
299,Burbank,California,103340,NA,NA,NA,NA,NA
300,Rialto,California,99171,NA,NA,NA,NA,NA
301,Allen,Texas,84246,NA,NA,NA,NA,NA
302,El Cajon,California,99478,NA,NA,NA,NA,NA
303,Las Cruces,New Mexico,97618,NA,NA,NA,NA,NA
304,Renton,Washington,90927,NA,NA,NA,NA,NA
305,Davenport,Iowa,99685,NA,NA,NA,NA,NA
306,South Bend,Indiana,101168,NA,NA,NA,NA,NA
307,Vista,California,93834,NA,NA,NA,NA,NA
308,Tuscaloosa,Alabama,90468,NA,NA,NA,NA,NA
309,Clinton,Michigan,96796,NA,NA,NA,NA,NA
310,Edison,New Jersey,99967,NA,NA,NA,NA,NA
311,Woodbridge,New Jersey,99585,NA,NA,NA,NA,NA
312,San Angelo,Texas,93200,NA,NA,NA,NA,NA
313,Kenosha,Wisconsin,99218,NA,NA,NA,NA,NA
314,Vacaville,California,92428,NA,NA,NA,NA,NA
